UNIT,ID,X,Y,Z,SUFFIX,Prism,code,CL,Length,Width
UNIT,1227,59.254,63.362,1194.833,0,0.100000001,LITHIC,1b,33.8,19.9
UNIT,1229,59.041,63.41,1194.842,0,0.100000001,LITHIC,1b,0.0,0.0
UNIT,1229,59.046,63.411,1194.83,1,0.100000001,LITHIC,1b,0.0,0.0
UNIT,1230,58.991,63.39,1194.846,0,0.100000001,LITHIC,1b,0.0,0.0
UNIT,1230,58.995,63.398,1194.83,1,0.100000001,LITHIC,1b,0.0,0.0
UNIT,1238,57.729,63.099,1194.862,0,0.050000001,LITHIC,1b,28.3,24.5
UNIT,1238,57.767,63.107,1194.864,1,0.050000001,LITHIC,1b,28.3,24.5
UNIT,1239,57.912,63.013,1194.882,0,0.050000001,LITHIC,1b,33.0,21.1
UNIT,1239,57.882,63.015,1194.871,1,0.050000001,LITHIC,1b,33.0,21.1
UNIT,1243,58.895,62.274,1194.873,1,0.050000001,LITHIC,1b,49.6,24.8
UNIT,1243,58.871,62.237,1194.9,0,0,LITHIC,1b,49.6,24.8
UNIT,1244,58.863,62.287,1194.887,0,0,LITHIC,1b,28.8,25.7
UNIT,1244,58.838,62.268,1194.878,1,0.050000001,LITHIC,1b,28.8,25.7
UNIT,1247,59.076,63.329,1194.833,0,0.100000001,LITHIC,1b,30.5,29.3
UNIT,1247,59.063,63.334,1194.802,1,0.150000006,LITHIC,1b,30.5,29.3
UNIT,1248,58.66,61.111,1194.896,1,0,LITHIC,1b,31.8,18.6
UNIT,1248,58.632,61.107,1194.898,0,0,LITHIC,1b,31.8,18.6
UNIT,1255,58.819,68.092,1194.98,1,0,LITHIC,1b,81.1,47.7
UNIT,1255,58.606,67.909,1195.016,0,0,LITHIC,1b,81.1,47.7
UNIT,1265,58.385,67.731,1195.007,0,0,LITHIC,1b,72.3,40.9
UNIT,1265,58.358,67.773,1194.992,1,0,LITHIC,1b,72.3,40.9
UNIT,1299,59.127,67.519,1194.979,0,0,LITHIC,1b,31.5,14.9
UNIT,1299,59.127,67.541,1194.974,1,0,LITHIC,1b,31.5,14.9
UNIT,1314,59.071,66.406,1194.953,0,0,LITHIC,1b,37.9,34.7
UNIT,1314,59.109,66.405,1194.955,1,0,LITHIC,1b,37.9,34.7
UNIT,1315,59.292,67.177,1194.968,0,0,LITHIC,1b,42.2,25.8
UNIT,1315,59.265,67.199,1194.951,1,0,LITHIC,1b,42.2,25.8
UNIT,1319,60.257,67.255,1195.047,0,0,LITHIC,1b,20.7,14.6
UNIT,1319,60.25,67.233,1195.041,1,0,LITHIC,1b,20.7,14.6
UNIT,1346,58.411,63.201,1194.835,0,0.050000001,LITHIC,1b,66.7,39.6
UNIT,1346,58.453,63.253,1194.808,1,0.050000001,LITHIC,1b,66.7,39.6
UNIT,1350,58.803,63.697,1194.812,1,0.050000001,LITHIC,1b,25.7,14.0
UNIT,1350,58.793,63.698,1194.82,0,0.050000001,LITHIC,1b,25.7,14.0
UNIT,1352,58.922,63.614,1194.821,0,0.050000001,LITHIC,1b,0.0,0.0
UNIT,1352,58.929,63.612,1194.81,1,0.050000001,LITHIC,1b,0.0,0.0
UNIT,1353,58.897,63.53,1194.822,0,0.050000001,LITHIC,1b,29.1,23.5
UNIT,1353,58.891,63.523,1194.798,1,0.050000001,LITHIC,1b,29.1,23.5
UNIT,1354,58.882,63.37,1194.811,1,0.050000001,LITHIC,1b,0.0,0.0
UNIT,1354,58.885,63.38,1194.824,0,0.050000001,LITHIC,1b,0.0,0.0
UNIT,1360,59.13,63.165,1194.824,0,0.050000001,LITHIC,1b,0.0,0.0
UNIT,1360,59.125,63.167,1194.814,1,0.050000001,LITHIC,1b,0.0,0.0
UNIT,1362,58.695,63.298,1194.83,1,0.050000001,LITHIC,1b,0.0,0.0
